orderid,itemid,cmtid,ctime,rating,userid,shopid,comment,rating_star,skin_suitability,absorption,model_name
123698266125937,3034933556,10246670000,1670403000,1,81070170,423318317,"Skin Suitability:Suitable for sensitive skin
Absorption:easily absorbed

Thank you seller for the free gift! Will order again from you!",5,Suitable for sensitive skin,easily absorbed,Serum + Moisturizer
133420885202197,3034933556,11154193246,1680461809,1,183840969,423318317,"Skin Suitability:Dont know, for me combination
Absorption:Oily and sticky moisturizer

Sorry no video, continue skin suitability..... now i try for 4days, pimples comes out.. i dont know its suitable or not.
Right now just keep using first and will see the result good or getting worse 🥴 Thanks for the gift 🤍",5,"Dont know, for me combination",Oily and sticky moisturizer,Petite CBC 30ml
115187098267432,3034933556,9394763778,1661597859,1,73283932,423318317,Order sampai dalam masa satu hari. Sangat laju. Barang dibalut dengan sungguh tebal dan rapi. Dapat bekas and brush untuk mix mask.,5,,,NEW Skintella Serum
128524082249547,3034933556,10652389677,1674971555,1,278784597,423318317,"Skin Suitability:kayman

Baru nak cuba mintak2 menjadi dengan kulit 🫶🏻🫶🏻🫶🏻penghantaran cepat dua tiga hari pon dah sampai🫶🏻tq seller siap bagi gift lagi",5,,,QUICK & EASY KIT
123492588249842,3034933556,10208955478,1669971893,1,19626216,423318317,"Skin Suitability:Good

Super fast delivery. Mmg akan repeat dekat seller ni. Laju buat kerja. Thank you so much!!! I love it",5,,,Hyalumelon Toner
143437260273266,3034933556,13081765854,1698997629,1,6438599,423318317,"Absorption:Good
Skin Suitability:Good

One of my favourite moisturisers. Highly recommend!",5,,,Skintella Moisturzer
100162158511568,3034933556,7715295494,1646900274,1,62533686,423318317,"Skin Suitability:belum cuba lagi..harap2 sesuai dgn skin
Absorption:nmpk okay

Penghantaran yg sgt bagus",5,belum cuba lagi..harap2 sesuai dgn skin,nmpk okay,Hyalumelon Toner
103682524645133,3034933556,8130844630,1650451799,1,80175382,423318317,Terbaik. Fast delivery. Byk kali dh beli. Sgt suka product ini,5,,,Rosa Glow Essence
97505071256446,3034933556,7406270714,1644065594,1,80945807,423318317,thank youuu. have been using kayman toner and moisturizer all this time. they are all good so now nak try these two gems pulakk plus the timing is just right sebab kayman upgrade the serum to be 3 times effective hehe. so far so good!! thank you jugak untuk cute free gift 🥰,5,,,Skintella 2.0 15ml☘️
107711269213939,3034933556,8587733988,1654507253,1,163938142,423318317,"Second purchase from this seller! Thankyou

Edit: wanted to use the facial, sadly the pump not functioning. When i open the cap, the pump already rosak like tercabut. Haih how? Wanna change the dispenser but worry that the liquid will get kotor/bercampur with other impurities........",5,,,Coalberry Cleanser
